Phylum,Common name,Brooders/Spawniers,Family,Taxa,Species, pH.experim ,Perc.Fertilization,Insemination.mins,Fert.success.mins,Sperm.pre-exp-time,egg.pre-exp.time,pH.control,pH.delta,pH.category,Sperm.per.uL,Sperm.per.mL,sperm:egg,n.females,n.males,Other,Data source,Notes/other treat,DOI,Author,Yeear
Echinodermata,,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,8.07,80.4,10,10,0,0,8.07,0,,10000000,10000,NA,10,1,,Supplement,,https://doi.org/10.1098/rspb.2019.0785,Smith,2019
Echinodermata,,Spawners,Lytechinus,Sea urchin,Lytechinus pictus,7.7,43,10,10,0,0,8.07,-0.37,,100000000,100000,NA,10,1,,Engauge Digitizer,,https://doi.org/10.1098/rspb.2019.0785,Smith,2019
Echinodermata,,Spawners,Lytechinus,Sea urchin,Lytechinus pictus,7.9,40.2,10,10,0,0,8.07,-0.17,,100000000,100000,NA,10,1,,Engauge Digitizer,,https://doi.org/10.1098/rspb.2019.0785,Smith,2019
Echinodermata,,Spawners,Lytechinus,Sea urchin,Lytechinus pictus,8.07,41,10,10,0,0,8.07,0,,100000000,100000,NA,10,1,,Engauge Digitizer,,https://doi.org/10.1098/rspb.2019.0785,Smith,2019
Echinodermata,,Spawners,Psammechinus,Sea urchin,Psammechinus miliaris,7.7,87,45,45,0,0,7.98,-0.28,,NA,NA,NA,5,2,,Engauge Digitizer,0 days,https://doi.org/10.1080/07924259.2013.875951,Suckling,2014
Echinodermata,,Spawners,Psammechinus,Sea urchin,Psammechinus miliaris,7.7,67,45,45,0,0,7.98,-0.28,,NA,NA,NA,5,2,,Engauge Digitizer,28 days,https://doi.org/10.1080/07924259.2013.875951,Suckling,2014
Echinodermata,,Spawners,Psammechinus,Sea urchin,Psammechinus miliaris,7.7,83,45,45,0,0,7.98,-0.28,,NA,NA,NA,5,2,,Engauge Digitizer,42 days,https://doi.org/10.1080/07924259.2013.875951,Suckling,2014
Echinodermata,,Spawners,Psammechinus,Sea urchin,Psammechinus miliaris,7.7,90,45,45,0,0,7.98,-0.28,,NA,NA,NA,5,2,,Engauge Digitizer,70 days,https://doi.org/10.1080/07924259.2013.875951,Suckling,2014
Echinodermata,,Spawners,Psammechinus,Sea urchin,Psammechinus miliaris,7.98,92,45,45,0,0,7.98,0,,NA,NA,NA,5,2,,Engauge Digitizer,CONTROL,https://doi.org/10.1080/07924259.2013.875951,Suckling,2014
Echinodermata,,Spawners,Hemicentrotus,Sea urchin,Hemicentrotus pulcherrimus,7.99,76.6,20,20,20,0,7.99,0,,NA,NA,NA,6,5,,Web Plot Digitizer,S5,https://doi.org/10.1016/j.jmarsys.2014.04.013,Sung,2014
Echinodermata,,Spawners,Hemicentrotus,Sea urchin,Hemicentrotus pulcherrimus,7.96,75.6,20,20,20,0,7.99,-0.03,,NA,NA,NA,6,5,,Web Plot Digitizer,S5,https://doi.org/10.1016/j.jmarsys.2014.04.013,Sung,2014
Echinodermata,,Spawners,Hemicentrotus,Sea urchin,Hemicentrotus pulcherrimus,7.92,74.9,20,20,20,0,7.99,-0.07,,NA,NA,NA,6,5,,Web Plot Digitizer,S5,https://doi.org/10.1016/j.jmarsys.2014.04.013,Sung,2014
Echinodermata,,Spawners,Hemicentrotus,Sea urchin,Hemicentrotus pulcherrimus,7.78,74.5,20,20,20,0,7.99,-0.21,,NA,NA,NA,6,5,,Web Plot Digitizer,S5,https://doi.org/10.1016/j.jmarsys.2014.04.013,Sung,2014
Echinodermata,,Spawners,Hemicentrotus,Sea urchin,Hemicentrotus pulcherrimus,7.69,51.8,20,20,20,0,7.99,-0.3,,NA,NA,NA,6,5,,Web Plot Digitizer,S5,https://doi.org/10.1016/j.jmarsys.2014.04.013,Sung,2014
Echinodermata,,Spawners,Hemicentrotus,Sea urchin,Hemicentrotus pulcherrimus,7.59,42.3,20,20,20,0,7.99,-0.4,,NA,NA,NA,6,5,,Web Plot Digitizer,S5,https://doi.org/10.1016/j.jmarsys.2014.04.013,Sung,2014
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus nudus,7.2,2.2,20,20,20,0,7.99,-0.79,,NA,NA,NA,6,5,,Web Plot Digitizer,S1-S4,https://doi.org/10.1016/j.jmarsys.2014.04.013,Sung,2014
Echinodermata,,Spawners,Hemicentrotus,Sea urchin,Strongylocentrotus nudus,7.405,6.75,20,20,20,0,7.99,-0.585,,NA,NA,NA,6,5,,Web Plot Digitizer,S1-S4,https://doi.org/10.1016/j.jmarsys.2014.04.013,Sung,2014
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus nudus,7.616,8.64,20,20,20,0,7.99,-0.374,,NA,NA,NA,6,5,,Web Plot Digitizer,S1-S4,https://doi.org/10.1016/j.jmarsys.2014.04.013,Sung,2014
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus nudus,7.7975,10.825,20,20,20,0,7.99,-0.1925,,NA,NA,NA,6,5,,Web Plot Digitizer,S1-S4,https://doi.org/10.1016/j.jmarsys.2014.04.013,Sung,2014
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus nudus,7.9,38.5,20,20,20,0,7.99,-0.09,,NA,NA,NA,6,5,,Web Plot Digitizer,S1-S4,https://doi.org/10.1016/j.jmarsys.2014.04.013,Sung,2014
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus nudus,7.99,91.65,20,20,20,0,7.99,0,,NA,NA,NA,6,5,,Web Plot Digitizer,S1-S4,https://doi.org/10.1016/j.jmarsys.2014.04.013,Sung,2014
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus nudus,7.96,97.5,20,20,0,20,7.96,0,,NA,NA,NA,6,5,,Web Plot Digitizer,E1,https://doi.org/10.1016/j.jmarsys.2014.04.013,Sung,
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus nudus,7.79,99,20,20,0,20,7.96,-0.17,,NA,NA,NA,6,5,,Web Plot Digitizer,E1,https://doi.org/10.1016/j.jmarsys.2014.04.013,Sung,
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus nudus,7.58,99,20,20,0,20,7.96,-0.38,,NA,NA,NA,6,5,,Web Plot Digitizer,E1,https://doi.org/10.1016/j.jmarsys.2014.04.013,Sung,
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus nudus,7.41,98.5,20,20,0,20,7.96,-0.55,,NA,NA,NA,6,5,,Web Plot Digitizer,E1,https://doi.org/10.1016/j.jmarsys.2014.04.013,Sung,2014
Echinodermata,,Spawners,Strongylocentrotus,Sea urchin,Strongylocentrotus nudus,7.2,69.8,20,20,0,20,7.96,-0.76,,NA,NA,NA,6,5,,Web Plot Digitizer,E1,https://doi.org/10.1016/j.jmarsys.2014.04.013,Sung,2014
Echinodermata,Black sea urchin,Spawners,Centrostephanus,Sea urchin,Centrostephanus rodgeresii,7.6,87,15,NA,0,15,8.25,-0.65,,100000,100,25,3,3,,Estimated from figure,18ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Centrostephanus,Sea urchin,Centrostephanus rodgeresii,7.6,95,15,NA,0,15,8.25,-0.65,,100000,100,25,3,3,,Estimated from figure,22ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Centrostephanus,Sea urchin,Centrostephanus rodgeresii,7.6,94,15,NA,0,15,8.25,-0.65,,100000,100,25,3,3,,Estimated from figure,24ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Centrostephanus,Sea urchin,Centrostephanus rodgeresii,7.8,97,15,NA,0,15,8.25,-0.45,,100000,100,25,3,3,,Estimated from figure,18ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Centrostephanus,Sea urchin,Centrostephanus rodgeresii,7.8,94,15,NA,0,15,8.25,-0.45,,100000,100,25,3,3,,Estimated from figure,22ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Centrostephanus,Sea urchin,Centrostephanus rodgeresii,7.8,94,15,NA,0,15,8.25,-0.45,,100000,100,25,3,3,,Estimated from figure,24ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Centrostephanus,Sea urchin,Centrostephanus rodgeresii,8.25,96,15,NA,0,15,8.25,0,,100000,100,25,3,3,,Estimated from figure,18ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Centrostephanus,Sea urchin,Centrostephanus rodgeresii,8.25,96,15,NA,0,15,8.25,0,,100000,100,25,3,3,,Estimated from figure,22ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Centrostephanus,Sea urchin,Centrostephanus rodgeresii,8.25,95,15,NA,0,15,8.25,0,,100000,100,25,3,3,,Estimated from figure,24ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.6,93,15,120,0,15,8.17,0.57,,1000000,1000,1500,4,4,,Engauge Digitizer,22ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.6,94,15,120,0,15,8.17,0.57,,1000000,1000,500,4,4,,Engauge Digitizer,22ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.6,84,15,120,0,15,8.17,0.57,,100000,100,100,4,4,,Engauge Digitizer,22ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.6,24,15,120,0,15,8.17,0.57,,10000,10,10,4,4,,Engauge Digitizer,22ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.6,92,15,120,0,15,8.17,0.57,,1000000,1000,1500,4,4,,Engauge Digitizer,24ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.6,91,15,120,0,15,8.17,0.57,,1000000,1000,500,4,4,,Engauge Digitizer,24ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.6,75,15,120,0,15,8.17,0.57,,100000,100,100,4,4,,Engauge Digitizer,24ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.6,25,15,120,0,15,8.17,0.57,,10000,10,10,4,4,,Engauge Digitizer,24ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.6,95,15,120,0,15,8.17,0.57,,1000000,1000,1500,4,4,,Engauge Digitizer,26ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.6,92,15,120,0,15,8.17,0.57,,1000000,1000,500,4,4,,Engauge Digitizer,26ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.6,81,15,120,0,15,8.17,0.57,,100000,100,100,4,4,,Engauge Digitizer,26ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.6,22,15,120,0,15,8.17,0.57,,10000,10,10,4,4,,Engauge Digitizer,26ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.8,93,15,120,0,15,8.17,0.37,,1000000,1000,1500,4,4,,Engauge Digitizer,22ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.8,93,15,120,0,15,8.17,0.37,,1000000,1000,500,4,4,,Engauge Digitizer,22ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.8,78,15,120,0,15,8.17,0.37,,100000,100,100,4,4,,Engauge Digitizer,22ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.8,30,15,120,0,15,8.17,0.37,,10000,10,10,4,4,,Engauge Digitizer,22ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.8,90,15,120,0,15,8.17,0.37,,1000000,1000,1500,4,4,,Engauge Digitizer,24ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.8,91,15,120,0,15,8.17,0.37,,1000000,1000,500,4,4,,Engauge Digitizer,24ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.8,79,15,120,0,15,8.17,0.37,,100000,100,100,4,4,,Engauge Digitizer,24ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.8,20,15,120,0,15,8.17,0.37,,10000,10,10,4,4,,Engauge Digitizer,24ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.8,92,15,120,0,15,8.17,0.37,,1000000,1000,1500,4,4,,Engauge Digitizer,26ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.8,92,15,120,0,15,8.17,0.37,,1000000,1000,500,4,4,,Engauge Digitizer,26ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.8,73,15,120,0,15,8.17,0.37,,100000,100,100,4,4,,Engauge Digitizer,26ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,7.8,18,15,120,0,15,8.17,0.37,,10000,10,10,4,4,,Engauge Digitizer,26ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,8.17,91,15,120,0,15,8.17,0,,1000000,1000,1500,4,4,,Engauge Digitizer,22ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,8.17,92,15,120,0,15,8.17,0,,1000000,1000,500,4,4,,Engauge Digitizer,22ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,8.17,81,15,120,0,15,8.17,0,,100000,100,100,4,4,,Engauge Digitizer,22ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,8.17,35,15,120,0,15,8.17,0,,10000,10,10,4,4,,Engauge Digitizer,22ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,8.17,94,15,120,0,15,8.17,0,,1000000,1000,1500,4,4,,Engauge Digitizer,24ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,8.17,92,15,120,0,15,8.17,0,,1000000,1000,500,4,4,,Engauge Digitizer,24ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,8.17,78,15,120,0,15,8.17,0,,100000,100,100,4,4,,Engauge Digitizer,24ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,8.17,26,15,120,0,15,8.17,0,,10000,10,10,4,4,,Engauge Digitizer,24ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,8.17,94,15,120,0,15,8.17,0,,1000000,1000,1500,4,4,,Engauge Digitizer,26ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,8.17,94,15,120,0,15,8.17,0,,1000000,1000,500,4,4,,Engauge Digitizer,26ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,8.17,81,15,120,0,15,8.17,0,,100000,100,100,4,4,,Engauge Digitizer,26ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Purple sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris erythrogramma,8.17,28,15,120,0,15,8.17,0,,10000,10,10,4,4,,Engauge Digitizer,26ºC,https://doi-org.offcampus.lib.washington.edu/10.1016/j.marenvres.2009.10.014,Byrne-B,2010
Echinodermata,Black sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris tuberculata,7.6,90,15,NA,0,15,8.25,-0.65,,100000,100,25,3,3,,Engauge Digitizer,20ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris tuberculata,7.6,87,15,NA,0,15,8.25,-0.65,,100000,100,25,3,3,,Engauge Digitizer,24ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris tuberculata,7.6,82,15,NA,0,15,8.25,-0.65,,100000,100,25,3,3,,Engauge Digitizer,26ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris tuberculata,7.8,93,15,NA,0,15,8.25,-0.45,,100000,100,25,3,3,,Engauge Digitizer,20ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris tuberculata,7.8,96,15,NA,0,15,8.25,-0.45,,100000,100,25,3,3,,Engauge Digitizer,24ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris tuberculata,7.8,92,15,NA,0,15,8.25,-0.45,,100000,100,25,3,3,,Engauge Digitizer,26ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris tuberculata,7.9,95,15,NA,0,15,8.25,-0.35,,100000,100,25,3,3,,Engauge Digitizer,20ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris tuberculata,7.9,92,15,NA,0,15,8.25,-0.35,,100000,100,25,3,3,,Engauge Digitizer,24ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris tuberculata,7.9,93,15,NA,0,15,8.25,-0.35,,100000,100,25,3,3,,Engauge Digitizer,26ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris tuberculata,8.25,96,15,NA,0,15,8.25,0,,100000,100,25,3,3,,Engauge Digitizer,20ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris tuberculata,8.25,97,15,NA,0,15,8.25,0,,100000,100,25,3,3,,Engauge Digitizer,24ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Black sea urchin,Spawners,Heliocidaris,Sea urchin,Heliocidaris tuberculata,8.25,93,15,NA,0,15,8.25,0,,100000,100,25,3,3,,Engauge Digitizer,26ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Common cushion star,Spawners,Patiriella,Sea star,Patiriella regularis,7.6,89,15,NA,0,15,8.25,-0.65,,100000,100,50,3,3,,Engauge Digitizer,22ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Common cushion star,Spawners,Patiriella,Sea star,Patiriella regularis,7.6,78,15,NA,0,15,8.25,-0.65,,100000,100,50,3,3,,Engauge Digitizer,24ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Common cushion star,Spawners,Patiriella,Sea star,Patiriella regularis,7.6,88,15,NA,0,15,8.25,-0.65,,100000,100,50,3,3,,Engauge Digitizer,26ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Common cushion star,Spawners,Patiriella,Sea star,Patiriella regularis,7.8,87,15,NA,0,15,8.25,-0.45,,100000,100,50,3,3,,Engauge Digitizer,22ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Common cushion star,Spawners,Patiriella,Sea star,Patiriella regularis,7.8,85,15,NA,0,15,8.25,-0.45,,100000,100,50,3,3,,Engauge Digitizer,24ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Common cushion star,Spawners,Patiriella,Sea star,Patiriella regularis,7.8,92,15,NA,0,15,8.25,-0.45,,100000,100,50,3,3,,Engauge Digitizer,26ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Common cushion star,Spawners,Patiriella,Sea star,Patiriella regularis,8.25,89,15,NA,0,15,8.25,0,,100000,100,50,3,3,,Engauge Digitizer,22ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Common cushion star,Spawners,Patiriella,Sea star,Patiriella regularis,8.25,93,15,NA,0,15,8.25,0,,100000,100,50,3,3,,Engauge Digitizer,24ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Common cushion star,Spawners,Patiriella,Sea star,Patiriella regularis,8.25,91,15,NA,0,15,8.25,0,,100000,100,50,3,3,,Engauge Digitizer,26ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Collector sea urchin,Spawners,Tripneustes,Sea urchin,Tripneustes gratilla,7.6,92,15,NA,0,15,8.25,-0.65,,100000,100,25,3,3,,Engauge Digitizer,20ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Collector sea urchin,Spawners,Tripneustes,Sea urchin,Tripneustes gratilla,7.6,89,15,NA,0,15,8.25,-0.65,,100000,100,25,3,3,,Engauge Digitizer,24ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Collector sea urchin,Spawners,Tripneustes,Sea urchin,Tripneustes gratilla,7.6,92,15,NA,0,15,8.25,-0.65,,100000,100,25,3,3,,Engauge Digitizer,26ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Collector sea urchin,Spawners,Tripneustes,Sea urchin,Tripneustes gratilla,7.8,92,15,NA,0,15,8.25,-0.45,,100000,100,25,3,3,,Engauge Digitizer,20ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Collector sea urchin,Spawners,Tripneustes,Sea urchin,Tripneustes gratilla,7.8,92,15,NA,0,15,8.25,-0.45,,100000,100,25,3,3,,Engauge Digitizer,24ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Collector sea urchin,Spawners,Tripneustes,Sea urchin,Tripneustes gratilla,7.8,93,15,NA,0,15,8.25,-0.45,,100000,100,25,3,3,,Engauge Digitizer,26ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Collector sea urchin,Spawners,Tripneustes,Sea urchin,Tripneustes gratilla,7.9,89,15,NA,0,15,8.25,-0.35,,100000,100,25,3,3,,Engauge Digitizer,20ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Collector sea urchin,Spawners,Tripneustes,Sea urchin,Tripneustes gratilla,7.9,83,15,NA,0,15,8.25,-0.35,,100000,100,25,3,3,,Engauge Digitizer,24ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
Echinodermata,Collector sea urchin,Spawners,Tripneustes,Sea urchin,Tripneustes gratilla,7.9,93,15,NA,0,15,8.25,-0.35,,100000,100,25,3,3,,Engauge Digitizer,26ºC,https://doi.org/10.1007/s00227-010-1474-9,Byrne-A,2010
